latitude,longitude
"-8971617","3266050"
"-8971627","3266060"
"-8971627","3266050"
"-8971627","3266040"
"-8971637","3266020"
"-8971637","3266030"
"-8971637","3266040"
"-8971637","3266050"
"-8971637","3266060"
"-8971647","3266060"
"-8971647","3266050"
"-8971647","3266040"
"-8971647","3266030"
"-8971647","3266020"
"-8971647","3266010"
"-8971657","3265990"
"-8971657","3266000"
"-8971657","3266010"
"-8971657","3266020"
"-8971657","3266030"
"-8971657","3266040"
"-8971657","3266050"
"-8971657","3266060"
"-8971667","3266060"
"-8971667","3266050"
"-8971667","3266040"
"-8971667","3266030"
"-8971667","3266020"
"-8971667","3266010"
"-8971667","3266000"
"-8971667","3265990"
"-8971667","3265980"
"-8971677","3265970"
"-8971677","3265980"
"-8971677","3265990"
"-8971677","3266000"
"-8971677","3266010"
"-8971677","3266020"
"-8971677","3266030"
"-8971677","3266040"
"-8971677","3266050"
"-8971677","3266060"
"-8971687","3266060"
"-8971687","3266050"
"-8971687","3266040"
"-8971687","3266030"
"-8971687","3266020"
"-8971687","3266010"
"-8971687","3266000"
"-8971687","3265990"
"-8971687","3265980"
"-8971687","3265970"
"-8971697","3265980"
"-8971697","3265990"
"-8971697","3266000"
"-8971697","3266010"
"-8971697","3266020"
"-8971697","3266030"
"-8971697","3266040"
"-8971697","3266050"
"-8971697","3266060"
"-8971707","3266060"
"-8971707","3266050"
"-8971707","3266040"
"-8971707","3266030"
"-8971707","3266020"
"-8971707","3266010"
"-8971707","3266000"
"-8971707","3265990"
"-8971707","3265980"
"-8971717","3265990"
"-8971717","3266000"
"-8971717","3266010"
"-8971717","3266020"
"-8971717","3266030"
"-8971717","3266040"
"-8971717","3266050"
"-8971717","3266060"
"-8971727","3266060"
"-8971727","3266050"
"-8971727","3266040"
"-8971727","3266030"
"-8971727","3266020"
"-8971727","3266010"
"-8971727","3266000"
"-8971727","3265990"
"-8971737","3266000"
"-8971737","3266010"
"-8971737","3266020"
"-8971737","3266030"
"-8971737","3266040"
"-8971737","3266050"
"-8971737","3266060"
"-8971747","3266060"
"-8971747","3266050"
"-8971747","3266040"
"-8971747","3266030"
"-8971747","3266020"
"-8971747","3266010"
"-8971747","3266000"
"-8971757","3266010"
"-8971757","3266020"
"-8971757","3266030"
"-8971757","3266040"
"-8971757","3266050"
"-8971757","3266060"
"-8971767","3266060"
"-8971767","3266050"
"-8971767","3266040"
"-8971767","3266030"
"-8971767","3266020"
"-8971777","3266020"
"-8971777","3266030"
"-8971777","3266040"
"-8971777","3266050"
"-8971777","3266060"
"-8971787","3266060"
"-8971787","3266050"
"-8971787","3266040"
"-8971787","3266030"
"-8971797","3266030"
"-8971797","3266040"
"-8971797","3266050"
"-8971797","3266060"
"-8971807","3266070"
"-8971807","3266060"
"-8971807","3266050"
"-8971807","3266040"
"-8971817","3266040"
"-8971817","3266050"
"-8971817","3266060"
"-8971817","3266070"
"-8971827","3266080"
"-8971827","3266070"
"-8971827","3266060"
"-8971827","3266050"
"-8971837","3266050"
"-8971837","3266060"
"-8971837","3266070"
"-8971837","3266080"
"-8971837","3266090"
"-8971847","3266090"
"-8971847","3266080"
"-8971847","3266070"
"-8971847","3266060"
"-8971857","3266070"
"-8971857","3266080"
"-8971857","3266090"
"-8971867","3266090"
"-8971867","3266080"
"-8971867","3266070"
"-8971877","3266080"
"-8971877","3266090"
"-8971887","3266090"
"-8971887","3266080"
"-8971897","3266090"
"-8971907","3266090"
